decider,state_id,task_id,reference,n,accuracy,modal_choice,consistency,n_distinct_choices
kev-4b,0/t0/turn0,0,respond_to_user,5,0.0,cancel_reservation,1.0,1
kev-4b,0/t0/turn1,0,get_reservation_details,5,0.0,cancel_reservation,1.0,1
kev-4b,0/t0/turn2,0,respond_to_user,5,0.0,get_reservation_details,1.0,1
kev-4b,0/t0/turn3,0,transfer_to_human_agents,5,1.0,transfer_to_human_agents,1.0,1
kev-4b,0/t0/turn4,0,respond_to_user,5,0.0,transfer_to_human_agents,1.0,1
kev-4b,0/t1/turn0,0,respond_to_user,5,0.0,get_reservation_details,1.0,1
kev-4b,0/t1/turn1,0,get_user_details,5,0.0,get_reservation_details,1.0,1
kev-4b,0/t1/turn2,0,respond_to_user,5,0.0,get_reservation_details,1.0,1
kev-4b,0/t1/turn3,0,respond_to_user,5,1.0,respond_to_user,1.0,1
kev-4b,0/t2/turn0,0,respond_to_user,5,0.0,cancel_reservation,1.0,1
kev-4b,0/t2/turn1,0,get_user_details,5,0.0,cancel_reservation,1.0,1
kev-4b,0/t2/turn2,0,get_reservation_details,5,0.0,get_user_details,1.0,1
kev-4b,0/t2/turn3,0,get_flight_status,5,0.0,get_reservation_details,1.0,1
kev-4b,0/t2/turn4,0,respond_to_user,5,0.0,cancel_reservation,1.0,1
kev-4b,0/t2/turn5,0,respond_to_user,5,1.0,respond_to_user,1.0,1
kev-4b,1/t0/turn0,1,respond_to_user,5,1.0,respond_to_user,1.0,1
kev-4b,1/t0/turn1,1,get_user_details,5,1.0,get_user_details,1.0,1
kev-4b,1/t0/turn10,1,respond_to_user,5,0.0,cancel_reservation,1.0,1
kev-4b,1/t0/turn11,1,transfer_to_human_agents,5,1.0,transfer_to_human_agents,1.0,1
kev-4b,1/t0/turn12,1,respond_to_user,5,0.0,transfer_to_human_agents,1.0,1
kev-4b,1/t0/turn2,1,get_reservation_details,5,0.0,get_user_details,1.0,1
kev-4b,1/t0/turn3,1,get_reservation_details,5,1.0,get_reservation_details,1.0,1
kev-4b,1/t0/turn4,1,get_reservation_details,5,1.0,get_reservation_details,1.0,1
kev-4b,1/t0/turn5,1,get_reservation_details,5,1.0,get_reservation_details,1.0,1
kev-4b,1/t0/turn6,1,get_reservation_details,5,1.0,get_reservation_details,1.0,1
kev-4b,1/t0/turn7,1,get_flight_status,5,0.0,get_reservation_details,1.0,1
kev-4b,1/t0/turn8,1,get_flight_status,5,0.0,cancel_reservation,1.0,1
kev-4b,1/t0/turn9,1,get_flight_status,5,0.0,cancel_reservation,1.0,1
kev-4b,1/t1/turn0,1,respond_to_user,5,1.0,respond_to_user,1.0,1
kev-4b,1/t1/turn1,1,get_user_details,5,1.0,get_user_details,1.0,1
kev-4b,1/t1/turn10,1,get_flight_status,5,0.0,respond_to_user,1.0,1
